Subscriber,tripduration,start station id,start station latitude,start station longitude,end station id,end station latitude,end station longitude,bikeid,birth year,gender
1,503,189,42.36242784,-71.08495474,178,42.3595732,-71.10129476,5619,1995,1
1,226,61,42.348762,-71.082383,134,42.350413,-71.07655,3736,1992,1
1,551,5,42.341814,-71.090179,30,42.33462893,-71.10407918,2754,1996,1
0,1641,224,42.38267828,-71.14347895,70,42.3722168,-71.12188071,3078,1997,1
1,707,107,42.3625,-71.08822,120,42.356052,-71.069849,5999,1952,1
1,1064,64,42.3510045,-71.04930013,356,42.37412455,-71.054812,3968,1970,1
1,1101,190,42.365673,-71.064263,227,42.349496,-71.10057592,3389,1971,2
1,570,94,42.375603,-71.064608,90,42.370677,-71.076529,2804,1994,2
1,611,22,42.352175,-71.055547,36,42.34992828,-71.07739207,3044,1975,1
1,918,128,42.320561,-71.06198,22,42.352175,-71.055547,5947,1992,1
1,904,96,42.373379,-71.111075,145,42.392766,-71.129042,5306,1991,1
1,1387,139,42.36178044,-71.10809952,100,42.396969,-71.123024,5096,1996,2
1,377,145,42.392766,-71.129042,115,42.387995,-71.119084,5429,1970,2
1,1596,411,42.29175622,-71.0625918,206,42.35980252,-71.05960783,6006,1987,1
0,517,64,42.3510045,-71.04930013,190,42.365673,-71.064263,2278,1991,1
1,247,6,42.36121165,-71.0653062,23,42.35892,-71.057629,4392,1991,1
1,248,68,42.36507,-71.1031,225,42.37119728,-71.09759867,3024,1984,1
1,509,437,42.37207658,-71.08995434,80,42.36213123,-71.09115601,3309,1984,1
1,839,29,42.363732,-71.124565,221,42.37250865,-71.11305356,2271,1992,2
1,570,69,42.341598,-71.123338,19,42.347241,-71.105301,5792,1991,2
0,69,342,42.34465063,-71.09732501,342,42.34465063,-71.09732501,5509,1998,2
1,578,24,42.35148193,-71.04436085,161,42.3391085,-71.0514432,5130,1980,1
0,641,5,42.341814,-71.090179,360,42.3294633,-71.0901582,4008,1969,0
1,325,108,42.377945,-71.116865,99,42.38567579,-71.11412136,2675,1987,1
1,505,386,42.36860524,-71.09930186,408,42.38717463,-71.08714389,4061,1988,1
1,1015,10,42.350406,-71.108279,354,42.34286835,-71.14127841,4747,1990,1
1,611,190,42.365673,-71.064263,117,42.36608797,-71.08633604,3194,1987,1
1,1656,53,42.35082681,-71.08981088,110,42.376369,-71.114025,3184,1986,1
1,2259,74,42.373268,-71.118579,71,42.383405,-71.107593,2210,1992,1
