material_id	avg_cost	ctr	cvr	ecpm	deep_convert_rate	pay_rate	first_day_roi	valid_play_rate	finish_play_rate	label_ids	v_resolution_id	duration	r_frame_rate	display_type	path
161427	40.348085106	0.0117	0.0136	0.0002	0.0034	0.0061	0.003163956			697,356,358,360,362,364,366,368,370,372,472,420,455,475,431	2	25	25	horizontal	video/20210907/5320ba32a266a31a01b8e015ca28be2b.mp4
161428	62.006666666	0.0054	0.0146	0.0001	0.0000		0.000000000	0.0301	0.0258	697,356,358,360,362,364,366,368,370,372,472,420,455,475,431	4	25	25	vertical	video/20210907/0e24f4c638ef4dd0984c0dab02e6dfa2.mp4
161433	82.980000000	0.0129	0.0000	0.0000	0.0000		0.000000000	0.1105	0.0894	195,257,674,201,704,205,207,226,211,708,667,316,306,300,265,670,330	2	36	30	horizontal	video/20210907/61ab7da8b3d405b9393d01cc19fc60c6.mp4
161435	89.276538461	0.0122	0.0227	0.0003	0.0000	0.0481	0.025848810	0.1333	0.0357	195,257,201,704,205,231,226,211,708,667,317,306,300,265,670,330	4	36	25	vertical	video/20210907/860f4c8da07e9d1bbfd387ceacc4a937.mp4
161437	82.167000000	0.0006	0.0000	0.0000	0.0000	0.1042	0.016227115	0.1727		195,257,674,201,241,205,231,226,221,708,667,317,306,300,265,670,330	4	36	25	vertical	video/20210907/2a563611f61e2768a0ad44fda3b72b87.mp4
161440	131.124636363	0.0029	0.0385	0.0001	0.0000	0.0806	0.097062406	0.0962	0.0202	195,257,674,201,704,205,231,226,221,667,708,315,306,300,265,670,330	4	36	25	vertical	video/20210907/c834d85ccea1ed560becd1c7fe5e768f.mp4
161441	110.437714285	0.0080	0.0019	0.0000	0.0000		0.000000000	0.0772	0.0731	352,356,358,360,362,364,384,382,370,372,472,420,456,438,475	4	34	25	vertical	video/20210907/5dfc2f17c2a4f3ed37c14bfc06c539bb.mp4
161442	113.963111111	0.0080	0.0341	0.0003	0.0000	0.1977	0.014624615	0.0469	0.0176	195,257,674,201,704,231,205,226,221,708,667,315,306,300,265,670,330	4	36	25	vertical	video/20210907/4e55cef00dd2ad46ff3868ed5de9d7ec.mp4
161443	53.794800000	0.0027	0.0800	0.0002	0.0000	0.0000	0.000000000	0.0151		195,257,674,201,241,205,231,226,221,708,667,317,306,300,265,670,330	4	36	25	vertical	video/20210907/7aaadd36a409220df8fbbcb7fc9a520a.mp4
161445	11.663333333	0.0047	0.0323	0.0002	0.0000	0.0294	0.000000000			195,257,674,201,704,231,205,226,221,708,667,315,306,300,265,670,330	4	36	24	vertical	video/20210907/2a1c970d98f2def5527366f8f7fbfa9d.mp4
161446	130.654444444	0.0129	0.0028	0.0000	0.0000		0.000000000			352,356,358,360,362,364,384,382,370,372,472,420,456,438,475	2	34	25	horizontal	video/20210907/d988b2bf1914083dc60bbde539212a09.mp4
161460	119.315714285	0.0097	0.0007	0.0000	0.0000		0.000000000	0.0299	0.0438	352,356,358,360,362,364,384,385,370,380,372,472,420,456,438,488	4	28	25	vertical	video/20210907/6926b49e60a685bdbb4dade7bea7bc62.mp4
161461	61.556202531	0.0088	0.0065	0.0001	0.0000	0.0693	0.028789169			352,356,358,360,362,364,384,385,370,380,372,472,420,456,438,488	2	28	25	horizontal	video/20210907/84098151ce3554e92b65a4f298f6dfbe.mp4
161470	120.684782608	0.0063	0.0100	0.0001	0.0000		0.000000000	0.0016	0.0219	352,356,358,400,362,364,366,368,370,372,472,459,453,424,475	2	32	25	horizontal	video/20210907/59a3c14af1e2b58b31d0b285d7b86f00.mp4
161472	126.070246913	0.0045	0.0058	0.0000	0.0000	0.0114	0.003525371	0.0691	0.0522	352,356,358,400,362,364,366,368,370,372,472,459,453,424,475	4	32	25	vertical	video/20210907/840de19f475fed029a1c9301e341dff8.mp4
161474	49.474457831	0.0061	0.0000	0.0000	0.0000	0.0000	0.000000000	0.0444	0.0341	352,356,358,401,400,362,391,366,368,370,373,470,459,454,453,424,475	4	27	25	vertical	video/20210907/3e234dffb27dfacb32d4e343ba219993.mp4
161476	119.891081081	0.0171	0.0036	0.0001	0.0000		0.000000000	0.0000	0.0833	352,356,358,360,362,364,388,381,370,372,472,420,456,438,475	2	23	25	horizontal	video/20210907/f7ffe2d37f30b4629d766a83fd88abc9.mp4
161480	98.649444444	0.0083	0.0091	0.0001	0.0000		0.000000000	0.0101	0.0395	352,356,358,360,362,364,388,381,370,372,472,420,456,438,475	4	23	25	vertical	video/20210907/7946704acd27471cef966fd6f5c830b0.mp4
161481	29.966666666	0.0177	0.0000	0.0000	0.0000		0.000000000	0.1798	0.4773	195,199,201,241,244,205,231,233,209,211,214,215,315,261,296,300,283,289,270,670,330,329,336,701,337,338	2	41	30	horizontal	video/20210907/610290ff3653b7232c49507258245012.mp4
161485	6.322413793	0.0039	0.0141	0.0001	0.0000	0.0000	0.000000000	0.0071	0.0293	195,254,201,241,242,244,205,243,231,233,209,221,218,219,259,305,300,296,283,292,270,670,330,336,337,338	2	44	30	horizontal	video/20210907/5aae1a751618032c1fd34c9655ae4ead.mp4
161487	19.129347826	0.0124	0.0164	0.0002	0.0000	0.0851	0.165918518	0.0482	0.0278	195,254,201,241,242,244,205,243,231,233,209,221,218,219,259,305,300,296,283,292,270,670,330,336,337,338	4	44	30	vertical	video/20210907/4e6048e4b123a457c23c739e802e2d0b.mp4
161488	189.585000000	0.0084	0.0000	0.0000	0.0000		0.000000000	0.0899	0.0685	352,356,358,360,362,364,384,368,370,372,470,464,450,452,425,477,496	4	30	25	vertical	video/20210907/5999cbad034bd2302917fb45cac03ef7.mp4
161489	56.464285714	0.0046	0.0625	0.0003	0.0000	0.0806	0.022770398	0.1234	0.0519	195,199,201,244,241,242,243,205,231,233,209,221,215,214,259,305,296,300,286,294,270,670,268,330,329,336,337,338,701	2	46	30	horizontal	video/20210907/b1548a5cbd94fe6460e6a28dbc7e50eb.mp4
161491	95.430728323	0.0148	0.0127	0.0002	0.0000	0.0925	0.207758968	0.0665	0.0552	195,199,201,241,244,205,231,233,209,211,214,215,315,261,300,296,283,289,270,670,329,336,338,337,701,330	2	37	30	horizontal	video/20210907/511888b6d540dc08d7310539aab331da.mp4
161493	112.400983606	0.0062	0.0192	0.0001	0.0000	0.0030	0.000000000	0.0014	0.0166	352,356,358,360,362,364,384,368,370,372,470,464,450,452,425,477,496	2	30	25	horizontal	video/20210907/13c0431ce67d39fb0334d0a294e7f6cc.mp4
161495	38.123103448	0.0057	0.0511	0.0003	0.0054	0.0508	0.018994727	0.0075	0.0277	195,199,201,241,244,205,231,233,209,211,214,215,315,261,296,300,290,270,670,329,330,338,337,336,701	2	37	30	horizontal	video/20210907/f14b97df432bc6df56ea2e44df19c16d.mp4
161498	45.544047619	0.0150	0.0072	0.0001	0.0000	0.0690	0.018820085	0.0685	0.0320	195,199,201,241,242,243,244,205,233,231,209,221,214,215,259,305,296,300,290,270,268,670,701,330,336,329,338,337	4	46	30	vertical	video/20210907/4558abe8778582c7fd83edccf2fea32e.mp4
161499	99.949000000	0.0140	0.0088	0.0001	0.0000	0.2857	0.173421778	0.0242	0.0202	195,199,201,244,241,242,243,205,231,233,209,221,215,214,259,305,296,300,286,294,270,670,268,330,329,336,337,338,701	4	46	30	vertical	video/20210907/02b4223f0d025f6691f878ba1ef6ecd6.mp4
161500	54.514666666	0.0058	0.1250	0.0007	0.0000	0.1522	0.044024850	0.1180	0.0545	195,199,201,241,242,243,244,205,231,233,209,221,214,215,259,305,296,300,273,294,268,270,670,330,329,701,336,337	2	46	30	horizontal	video/20210907/c27b668542335b284cd14c55424b5dc0.mp4
161501	14.050000000	0.0109	0.0298	0.0003	0.0000	0.0732	0.297184242	0.0879	0.0415	195,199,201,241,242,243,244,205,231,233,209,221,214,215,259,305,296,300,273,294,268,270,670,330,329,701,336,337	4	46	30	vertical	video/20210907/479defe95f87cdf00ce762bb89351307.mp4
161503	49.767987500	0.0106	0.0518	0.0005	0.0000	0.1394	0.234086219	0.1149	0.0437	195,199,201,242,243,241,244,205,233,231,209,221,214,216,259,305,296,300,272,289,270,268,670,328,330,336,337,338	4	41	30	vertical	video/20210907/1bbf38cdb13cb93ea49516c1cd9645d4.mp4
161504	13.862535211	0.0116	0.0031	0.0000	0.0000	0.1646	0.117857433	0.1237	0.4492	195,199,201,241,242,243,244,231,233,205,209,221,214,216,259,305,296,300,272,289,268,270,670,328,330,336,337,338	2	41	30	horizontal	video/20210907/3d39db71b0b0586b48319c59c986569a.mp4
161506	26.226822222	0.0082	0.0341	0.0003	0.0000	0.1255	0.227078809	0.0379	0.0174	195,254,201,241,242,243,244,205,231,233,209,221,218,216,219,259,305,296,300,289,284,270,670,330,336,337,338	4	44	30	vertical	video/20210907/dc0328a202d75c4534f6bd844169c96c.mp4
161507	126.152125000	0.0090	0.0337	0.0003	0.0000	0.0652	0.017835609	0.1034	0.0415	195,199,201,241,244,205,231,233,209,211,214,215,315,261,296,300,283,289,270,670,330,329,336,701,337,338	4	41	30	vertical	video/20210907/285d4f47d1d61483194f4ae173b0df44.mp4
161511	201.256666666	0.0067	0.0014	0.0000	0.0000		0.000000000	0.0282	0.0254	352,356,358,360,362,364,366,368,370,372,472,464,450,452,425,477,496	4	31	25	vertical	video/20210907/a73004fae32a48e138a78e0551915663.mp4
161512	204.250384615	0.0073	0.0049	0.0000	0.0000	0.0952	0.006779010	0.0164	0.0266	352,356,358,360,362,364,366,368,370,372,472,464,450,452,425,477,496	2	31	25	horizontal	video/20210907/17848a89df8eddba06f43b9bc4bdaf3b.mp4
161516	166.550000000	0.0351	0.0238	0.0008	0.0000		0.000000000			352,356,358,400,399,362,364,383,380,370,372,472,458,452,438,485	4	23	25	vertical	video/20210907/062b3707cfc4e4e120fa9e02be37c231.mp4
161517	50.390000000	0.0254	0.0038	0.0001	0.0000		0.000000000			352,356,358,400,399,362,364,383,380,370,372,472,458,452,438,485	2	23	25	horizontal	video/20210907/9a868a23dc4fd2a76f9cd8779df064a1.mp4
161530	79.688333333	0.0166	0.0052	0.0001	0.0000		0.000000000			352,356,358,362,364,366,380,399,378,372,471,460,452,424,475	2	26	25	horizontal	video/20210907/0f08424b8337e0ebf4d8a6191db7939d.mp4
161531	125.046428571	0.0048	0.0103	0.0000	0.0000		0.000000000	0.0540	0.0455	352,356,358,362,364,366,380,399,378,372,471,460,452,424,475	4	25	25	vertical	video/20210907/50eabdcfa93f3e8b80645656e8271e0e.mp4
161535	44.712783783	0.0043	0.0584	0.0003	0.0000	0.1800	0.143861149	0.0233	0.0471	195,199,201,239,243,244,665,205,231,209,221,214,220,315,307,300,265,268,337	4	35	25	vertical	video/20210907/a7c2c6a042218e6c54a30ba5092c3ad7.mp4
161538	226.875526315	0.0114	0.0045	0.0001	0.0000	0.0426	0.012063188			352,356,358,360,362,364,384,382,370,372,472,420,456,438,475	2	34	25	horizontal	video/20210907/49001359978a6c466b8b78391dce427d.mp4
161541	54.755438596	0.0058	0.0089	0.0001	0.0000	0.0180	0.000000000	0.0561	0.0786	352,356,358,360,362,364,384,382,370,372,472,420,456,438,475	4	34	25	vertical	video/20210907/71337a32fe281c8d31fa263da6561b50.mp4
161543	196.105000000	0.0085	0.0032	0.0000			0.000000000			352,356,358,360,362,364,383,368,370,372,471,420,457,438,488	2	31	25	horizontal	video/20210907/34050eededf257d7fb14458e17aff987.mp4
161544	132.542500000	0.0347	0.0244	0.0008	0.0000		0.000000000			697,356,358,360,362,364,366,368,370,372,472,420,457,424,475	4	30	25	vertical	video/20210907/e5acab22e9c3073798b7aed5f4e13222.mp4
161545	19.270000000	0.0214	0.0500	0.0011	0.0000	0.0000	0.000000000			352,356,358,360,362,364,383,368,370,372,471,420,457,438,488	4	31	25	vertical	video/20210907/ac690efdfd561c648741919107ba3c72.mp4
161546	136.070000000	0.0162	0.0108	0.0002	0.0000	0.0667	0.014698317	0.1375	0.0928	195,257,201,242,205,207,209,211,213,317,312,300,265,270,330	2	59	30	horizontal	video/20210907/872ec0a45bf2e438c90275a95f5aa85f.mp4
161548	20.960966101	0.0006	0.1000	0.0001	0.0000	0.0547	0.029109798	0.2149	0.0028	195,257,201,242,205,207,209,211,213,317,312,300,265,270,330	4	59	30	vertical	video/20210907/4a7ad5f2c23442d72e85e2e4775a8f16.mp4
161549	48.281250000	0.0063	0.0909	0.0006	0.0000	0.0500	0.015533981	0.1997	0.0234	195,257,201,242,205,207,209,211,213,317,312,300,265,270,330	4	59	30	vertical	video/20210907/c99a51b17c8142041de994f4534db066.mp4
161551	184.779600000	0.0076	0.0376	0.0003	0.0000	0.1341	0.117978392	0.0843	0.0149	195,257,201,242,205,207,209,211,213,317,312,300,265,270,330	4	59	30	vertical	video/20210907/cbf18448960910e574c10c5e2b8783f9.mp4
161556	167.850000000	0.0122	0.0000	0.0000	0.0000	0.0000	0.000000000	0.1347	0.0715	195,257,201,242,205,207,209,211,213,317,312,300,265,270,330	2	59	30	horizontal	video/20210907/1598a622dcb8a549fafba0398b11517e.mp4
161557	230.858000000	0.0000					0.000000000	0.1527		195,257,201,242,205,207,209,211,213,317,312,300,265,270,330	4	59	30	vertical	video/20210907/dd0c46697f5e01eb3e62022ea7a5dbc4.mp4
161558	104.393047619	0.0036	0.0035	0.0000	0.0000	0.0165	0.000912303	0.1303	0.0884	352,356,358,360,362,364,366,380,378,372,472,420,452,438,475	4	31	25	vertical	video/20210907/b52f362b3345e1e9f17fec29bd6a5e77.mp4
161559	522.297749510	0.0076	0.0021	0.0000	0.0000	0.0497	0.006800449	0.1019	0.0802	352,356,358,360,362,364,366,380,378,372,472,420,452,438,475	4	25	25	vertical	video/20210907/4ae0e854cba3ba6c3d5ceaaa72eaa5f4.mp4
161560	206.969541284	0.0044	0.0066	0.0000	0.0000	0.0954	0.002304997	0.1391	0.0824	352,356,358,360,362,364,366,380,378,372,472,420,452,438,475	4	31	25	vertical	video/20210907/12c51ab7eb6eabce8c55af775529bffa.mp4
161561	197.775000000	0.0031	0.0000	0.0000	0.0000			0.1551	0.0873	352,356,358,360,362,364,366,380,378,372,472,420,452,438,475	4	34	25	vertical	video/20210907/7901bef178da96686caafb33bc181cb0.mp4
